date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:45	40080/40080	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-9c90%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/team-1.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/team-1.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:46	32372/32372	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-7e74%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/team-3.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/team-3.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:46	22858/22858	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-594a%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/team-4.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/team-4.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:46	18555/18555	---M-Z	200	added ('OK')	application/javascript	etag:W/%226098fbcb-487b%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/js/core/popper.min.js	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/js/core/popper.min.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:47	60974/60974	---M-Z	200	added ('OK')	application/javascript	etag:W/%226098fbcb-ee2e%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/js/core/bootstrap.min.js	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/js/core/bootstrap.min.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:47	48421/48421	---M-Z	200	added ('OK')	application/javascript	etag:W/%226098fbcb-bd25%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/js/plugins/smooth-scrollbar.min.js	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/js/plugins/smooth-scrollbar.min.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:47	173077/173077	---M-Z	200	added ('OK')	application/javascript	etag:W/%226098fbcb-2a415%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/js/plugins/chartjs.min.js	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/js/plugins/chartjs.min.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:48	3735/3735	---M-Z	200	added ('OK')	application/javascript	etag:W/%226098fbcb-e97%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/js/plugins/Chart.extension.js	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/js/plugins/Chart.extension.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:49	18310/18310	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260c0a1ff-4786%22	https://buttons.github.io/buttons.js	C:/Users/david/OneDrive/Desktop/cc1/buttons.github.io/buttons.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
12:52:49	8009/8009	---M-Z	200	added ('OK')	application/javascript	etag:W/%226098fbcb-1f49%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/js/soft-ui-dashboard.min.js?v=1.0.2	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/js/soft-ui-dashboard.min0ff5.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/dashboard.html?_ga=2.29510072.686544255.1624535243-702810893.1623579600)
